fips_st_cnty,cnty_name_st_abbrev,area_mi2_20,area_mi2_10,land_area_mi2_20,land_area_mi2_10,water_area_mi2_20,water_area_mi2_10,popn_densty_per_squr_mi_20,popn_densty_per_squr_mi_10,hous_unit_densty_per_squr_mi_20,hous_unit_densty_per_squr_mi_10,desg_tox_site_ctrl_25,desg_tox_site_ctrl_24,desg_tox_site_not_ctrl_25,desg_tox_site_not_ctrl_24,desg_tox_site_insuf_data_25,desg_tox_site_insuf_data_24,dys_air_qulty_mesrd_24,dys_air_qulty_mesrd_23,dys_mesrd_air_qulty_good_24,dys_mesrd_air_qulty_good_23,good_air_qulty_dys_pct_24,good_air_qulty_dys_pct_23,annul_partclt_mattr_2_5_avg_20,annul_partclt_mattr_2_5_avg_19,dys_8_hr_ozone_over_naaqs_avg_20,dys_8_hr_ozone_over_naaqs_avg_19,elevtn_feet_76
01001,"Autauga, AL",604.37,604.39,594.46,594.44,9.91,9.95,98.9,91.8,41,37.2,0,0,0,0,0,0,,,,,,,9.3,10,0,1,290
01003,"Baldwin, AL",2027.27,2027.31,1589.84,1589.78,437.44,437.53,145.8,114.7,78.1,65.5,1,1,0,0,0,0,271,347,215,236,79.34,68.01,7.8,7.6,0,0,155
01005,"Barbour, AL",904.52,904.52,885.01,884.88,19.51,19.64,28.5,31,13.1,13.4,0,0,0,0,0,0,,,,,,,8.8,9.4,0,0,220
01007,"Bibb, AL",626.17,626.17,622.47,622.58,3.7,3.59,35.8,36.8,14.5,14.4,0,0,0,0,0,0,,,,,,,8.6,9.8,0,0,224
01009,"Blount, AL",650.63,650.63,644.89,644.78,5.74,5.85,91.7,88.9,38.2,37.1,0,0,0,0,0,0,,,,,,,8.8,9.6,0,1,870
01011,"Bullock, AL",625.14,625.14,622.82,622.8,2.33,2.34,16.6,17.5,7.3,7.2,0,0,0,0,0,0,,,,,,,8.4,9.3,0,0,455
01013,"Butler, AL",777.88,777.88,776.84,776.83,1.04,1.05,24.5,27,12.6,12.8,1,1,0,0,0,0,,,,,,,8.4,9.1,0,0,445
01015,"Calhoun, AL",612.27,612.29,605.89,605.87,6.38,6.42,192.2,195.7,87.6,88,1,1,1,1,0,0,,,,,,,8.9,9.7,0,0,565
01017,"Chambers, AL",603.11,603.11,596.56,596.53,6.55,6.58,58.3,57.4,27.5,28.5,0,0,0,0,0,0,,,,,,,8.9,9.8,0,0,745
01019,"Cherokee, AL",599.98,599.98,553.52,553.7,46.45,46.28,45.1,46.9,26.2,29.4,0,0,0,0,0,0,,,,,,,8.4,9.5,0,0,589
01021,"Chilton, AL",700.79,700.8,692.84,692.85,7.95,7.95,65,63,28.1,27.8,0,0,0,0,0,0,,,,,,,8.9,9.9,0,0,580
01023,"Choctaw, AL",920.86,920.86,913.48,913.5,7.38,7.36,13.9,15.2,7.8,8,0,0,0,0,0,0,,,,,,,8.7,9.3,0,0,350
01025,"Clarke, AL",1252.57,1252.57,1238.42,1238.46,14.15,14.11,18.6,20.9,9.4,10.2,0,0,0,0,0,0,,,,,,,8.8,9.5,0,0,405
01027,"Clay, AL",606,606,603.96,603.96,2.04,2.04,23.6,23.1,11.7,11.2,0,0,0,0,0,0,272,327,230,221,84.56,67.58,6.8,7.6,0,0,745
01029,"Cleburne, AL",561.01,561.01,560.11,560.1,0.91,0.91,26.9,26.7,12.1,12,0,0,0,0,0,0,,,,,,,8.3,9.4,0,0,1175
01031,"Coffee, AL",680.49,680.49,678.99,678.97,1.51,1.52,78.7,73.6,35.5,32.9,0,0,0,0,0,0,,,,,,,8.9,9.1,0,0,195
01033,"Colbert, AL",623.52,622.13,592.95,592.62,30.56,29.51,96.5,91.8,46.7,43.5,0,0,0,0,0,0,,,,,,,7.5,8.1,0,0,536
01035,"Conecuh, AL",852.76,852.72,850.28,850.16,2.48,2.57,13.6,15.6,7.5,8.3,0,0,0,0,0,0,,,,,,,8.5,9.2,0,0,216
01037,"Coosa, AL",666.35,666.35,650.91,650.93,15.44,15.42,16,17.7,9.2,10,0,0,0,0,0,0,,,,,,,8.5,9.6,0,0,660
01039,"Covington, AL",1043.77,1043.79,1030.57,1030.46,13.2,13.33,36.5,36.7,18,18.3,0,0,0,0,0,0,,,,,,,8.6,9.1,0,0,260
01041,"Crenshaw, AL",610.95,610.92,608.86,608.84,2.08,2.08,21.7,22.8,10.7,11.1,0,0,0,0,0,0,,,,,,,8.5,9.1,0,0,594
01043,"Cullman, AL",755.02,755.02,734.74,734.84,20.28,20.18,119.6,109.4,53.3,50.4,0,0,0,0,0,0,,,,,,,8.7,9.4,0,1,802
01045,"Dale, AL",562.68,562.7,561.11,561.15,1.56,1.55,87.9,89.6,40.6,40.4,0,0,0,0,0,0,,,,,,,9,9.1,0,0,470
01047,"Dallas, AL",993.84,993.8,978.74,978.69,15.11,15.11,39.3,44.8,19.3,20.7,0,0,0,0,0,0,,,,,,,8.7,9.5,0,0,147
01049,"DeKalb, AL",778.66,778.69,777.08,777.09,1.59,1.59,92.2,91.5,39.4,40,0,0,0,0,0,0,305,365,224,212,73.44,58.08,7.2,7.5,0,0,1040
01051,"Elmore, AL",657.04,657.04,618.51,618.48,38.53,38.56,142.2,128.2,59.5,52.8,0,0,0,0,0,0,203,238,201,221,99.01,92.86,9.4,10,0,0,290
01053,"Escambia, AL",953.14,953.14,945.41,945.08,7.73,8.06,38.9,40.6,17.7,17.4,0,0,0,0,0,0,,,,,,,8.9,9.3,0,0,85
01055,"Etowah, AL",548.63,548.63,535.11,534.99,13.52,13.64,193.3,195.2,88.4,88.7,0,0,0,0,0,0,273,365,159,181,58.24,49.59,7.9,8.4,0,0,565
