fips_st_cnty,cnty_name_st_abbrev,stgh_rptng_exp_23,stgh_rptng_exp_22,stnglth_rptng_exp_23,stnglth_rptng_exp_22,vetn_hosp_rptng_exp_23,vetn_hosp_rptng_exp_22,stgh_reprtd_fac_exp_thou_23,stgh_reprtd_fac_exp_thou_22,stnglth_reprtd_fac_exp_thou_23,stnglth_reprtd_fac_exp_thou_22,vetn_hosp_reprtd_fac_exp_thou_23,vetn_hosp_reprtd_fac_exp_thou_22,stgh_rptng_payrl_exp_23,stgh_rptng_payrl_exp_22,stnglth_rptng_payrl_exp_23,stnglth_rptng_payrl_exp_22,stgh_reprtd_payrl_exp_thou_23,stgh_reprtd_payrl_exp_thou_22,stnglth_reprtd_payrl_exp_thou_23,stnglth_reprtd_payrl_exp_thou_22,actl_ffs_costs_23,actl_ffs_costs_22,stdizd_ffs_costs_23,stdizd_ffs_costs_22,actl_per_cap_ffs_cost_23,actl_per_cap_ffs_cost_22,stdizd_per_cap_ffs_cost_23,stdizd_per_cap_ffs_cost_22,inpat_actl_ffs_costs_23,inpat_actl_ffs_costs_22,inpat_actl_cost_pct_23,inpat_actl_cost_pct_22,inpat_actl_ffs_cost_per_cap_23,inpat_actl_ffs_cost_per_cap_22,medcr_ffs_inpat_covrd_stay_23,medcr_ffs_inpat_covrd_stay_22,inpat_user_ffs_cost_23,inpat_user_ffs_cost_22,medcr_ffs_inpat_svc_pct_23,medcr_ffs_inpat_svc_pct_22,medcr_adv_ab_rate_0_bonus_pct_25,medcr_adv_ab_rate_0_bonus_pct_24,medcr_adv_ab_rate_3_5_pct_25,medcr_adv_ab_rate_3_5_pct_24,medcr_adv_ab_rate_5_bonus_pct_25,medcr_adv_ab_rate_5_bonus_pct_24,pts_seen_va_fac_23,pts_seen_va_fac_22,va_med_care_expd_23,va_med_care_expd_22
01001,"Autauga, AL",1,1,0,0,0,0,61850,67103,0,0,0,0,1,1,0,0,26809,31542,0,0,47423615,45972875,51141593,49570534,11307.49,10469.8,12193.99,11289.12,14053454,13060010,29.63,28.41,3350.85,2974.27,657,676,21390.34,19319.54,15.67,15.4,1118.1,1051.7,1188.4,1120.19,1218.6,1149.54,1898,1818,27409,22361
01003,"Baldwin, AL",3,3,1,1,0,0,408818,387299,22010,11086,0,0,3,3,1,1,140416,130260,11399,7397,282536312,272444913,298712863,284990241,11835.96,11163.94,12513.63,11678.01,68003122,68407081,24.07,25.11,2848.78,2803.11,3444,3596,19745.39,19023.1,14.43,14.74,1202.2,1138.94,1248.7,1208.26,1248.7,1223.3,5970,5747,64033,53280
01005,"Barbour, AL",1,1,0,0,0,0,25377,23591,0,0,0,0,1,1,0,0,10268,9686,0,0,25463646,24910554,27010943,26584555,13501.4,11783.61,14321.81,12575.48,6669326,6720163,26.19,26.98,3536.23,3178.89,330,362,20210.08,18563.99,17.5,17.12,1150.7,1115.15,1150.7,1115.15,1150.7,1115.15,567,568,6816,5559
01007,"Bibb, AL",1,1,0,0,0,0,27314,26700,0,0,0,0,1,1,0,0,14183,10517,0,0,16313152,15254027,17146141,15691453,12414.88,10787.86,13048.81,11097.21,5262718,4452713,32.26,29.19,4005.11,3149.02,231,220,22782.33,20239.6,17.58,15.56,1131.6,1106.98,1205.2,1179.06,1236.8,1206.25,364,375,5974,5742
01009,"Blount, AL",1,1,0,0,0,0,29611,27878,0,0,0,0,1,1,0,0,9538,8532,0,0,47415217,47731047,50314817,50029044,12490.84,11361.83,13254.69,11908.84,11638401,12887622,24.55,27,3065.96,3067.75,621,657,18741.39,19615.86,16.36,15.64,1143.6,1113.53,1204.6,1170.01,1204.6,1170.01,1049,1038,18946,16468
01011,"Bullock, AL",1,1,0,0,0,0,20828,19353,0,0,0,0,1,1,0,0,8213,7604,0,0,7489739,7642968,8223057,8416483,13568.37,11812.93,14896.84,13008.47,2274471,2204820,30.37,28.85,4120.42,3407.76,92,111,24722.51,19863.24,16.67,17.16,1130.4,1061.45,1130.4,1093.75,1130.4,1106.66,214,220,7117,6284
01013,"Butler, AL",1,1,0,0,0,0,48500,45130,0,0,0,0,1,1,0,0,19137,17074,0,0,19128796,22476928,20685886,23850340,11359.14,11586.05,12283.78,12293.99,4509140,5753868,23.57,25.6,2677.64,2965.91,234,326,19269.83,17649.9,13.9,16.8,1145.4,1101.26,1180.2,1134.78,1195.2,1149.14,441,421,7524,7226
01015,"Calhoun, AL",1,2,1,1,0,0,201032,252079,17514,16263,0,0,1,2,1,1,79668,117022,7856,7150,139668164,143340669,150997102,151708546,12302.31,11664.14,13300.19,12345.07,38541235,38912517,27.59,27.15,3394.81,3166.45,1903,2002,20252.88,19436.82,16.76,16.29,1096.4,1085.11,1130.5,1105.45,1130.5,1105.45,3474,3478,47250,41707
01017,"Chambers, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32857047,36636684,35135869,38688844,11122.9,10647.1,11894.34,11243.49,9176044,11199821,27.93,30.57,3106.31,3254.82,460,522,19947.92,21455.6,15.57,15.17,1070.7,1025.49,1103.3,1056.7,1117.3,1070.08,723,742,9939,8612
01019,"Cherokee, AL",1,1,0,0,0,0,18773,17457,0,0,0,0,1,1,0,0,6896,8188,0,0,37457717,37779052,39107456,38857141,12506.75,11365.54,13057.58,11689.87,11382084,11253287,30.39,29.79,3800.36,3385.47,522,530,21804.76,21232.62,17.43,15.94,1116.5,1098.37,1116.5,1098.37,1116.5,1098.37,569,558,7014,6567
01021,"Chilton, AL",1,1,0,0,0,0,25109,27437,0,0,0,0,1,1,0,0,8725,9267,0,0,32411588,32834991,34484495,33642262,12964.64,12484.79,13793.8,12791.73,7909549,9276878,24.4,28.25,3163.82,3527.33,387,410,20438.11,22626.53,15.48,15.59,1119.1,1080.21,1158.3,1155.82,1175,1188.23,852,835,12972,14166
01023,"Choctaw, AL",1,1,0,0,0,0,25973,24003,0,0,0,0,1,1,0,0,9541,8870,0,0,22048713,24603526,23629996,25795750,13387.2,13328.02,14347.3,13973.86,5041530,5244461,22.87,21.32,3061.04,2840.99,255,272,19770.71,19281.11,15.48,14.73,1149.8,1136.13,1149.8,1136.13,1149.8,1136.13,292,289,3695,2653
01025,"Clarke, AL",2,3,0,0,0,0,34554,60091,0,0,0,0,2,3,0,0,13124,20712,0,0,21558103,21826941,23097229,23226220,11286.96,10175.73,12092.79,10828.07,5667043,6242153,26.29,28.6,2967.04,2910.09,318,341,17820.89,18305.43,16.65,15.9,1071.6,1047.95,1071.6,1047.95,1071.6,1047.95,513,493,6981,6840
01027,"Clay, AL",1,1,0,0,0,0,34120,31997,0,0,0,0,1,1,0,0,13627,12604,0,0,13346553,12929843,14303728,13757817,10402.61,9079.95,11148.66,9661.39,4092367,3462419,30.66,26.78,3189.69,2431.47,209,184,19580.7,18817.49,16.29,12.92,1102.2,1083.63,1130.5,1105.21,1130.5,1105.21,297,290,3639,2784
01029,"Cleburne, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19558952,21968121,20820111,22700153,11478.26,11842.65,12218.38,12237.28,4915292,5938027,25.13,27.03,2884.56,3201.09,261,286,18832.54,20762.33,15.32,15.42,1129.2,1105.21,1129.2,1105.21,1129.2,1105.21,261,257,4322,3164
01031,"Coffee, AL",1,1,0,0,0,0,55232,53331,0,0,0,0,1,1,0,0,21964,20104,0,0,56647183,57864574,61754239,62549442,10643.97,10040.7,11603.58,10853.63,13401180,15472879,23.66,26.74,2518.07,2684.87,747,875,17940,17683.29,14.04,15.18,1110.2,1078.14,1133.7,1109.13,1133.7,1109.13,2424,2198,24302,21632
01033,"Colbert, AL",2,2,0,0,0,0,197829,197774,0,0,0,0,2,2,0,0,83146,82193,0,0,68927418,71232589,76150775,78302186,11528.25,10833.85,12736.37,11909.08,17597649,18088135,25.53,25.39,2943.24,2751.05,958,1041,18369.15,17375.73,16.02,15.83,1104.4,1085.75,1140.4,1121.1,1155.8,1136.25,1304,1270,15195,13957
01035,"Conecuh, AL",1,1,0,0,0,0,18147,16835,0,0,0,0,1,1,0,0,6339,5872,0,0,14787369,18127105,15699181,19045963,11236.6,11941.44,11929.47,12546.75,4653184,5507160,31.47,30.38,3535.85,3627.91,273,296,17044.63,18605.27,20.74,19.5,1162,1102.8,1199.8,1138.7,1216,1154.09,353,348,4688,5024
01037,"Coosa, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11598811,12671381,12436142,13371097,11472.61,11283.51,12300.83,11906.59,2981102,3429203,25.7,27.06,2948.67,3053.61,154,162,19357.81,21167.92,15.23,14.43,1127,1101.62,1127,1101.62,1127,1101.62,329,315,5945,4065
01039,"Covington, AL",2,2,0,0,0,0,68603,63877,0,0,0,0,2,2,0,0,26415,23384,0,0,54740028,56713540,58619465,59922614,12232.41,11667.05,13099.32,12327.22,14904098,15993036,27.23,28.2,3330.52,3290.07,867,906,17190.42,17652.36,19.37,18.64,1119.6,1092.01,1134.7,1109.92,1134.7,1109.92,855,846,12286,11974
01041,"Crenshaw, AL",1,1,1,1,0,0,67425,62590,9338,8559,0,0,1,1,1,1,26588,24594,4836,4451,13078731,13201697,13958472,14205329,11178.4,10210.13,11930.32,10986.33,3437206,3619314,26.28,27.42,2937.78,2799.16,194,193,17717.56,18752.92,16.58,14.93,1068.7,1022.67,1068.7,1022.67,1068.7,1022.67,297,285,5084,3971
01043,"Cullman, AL",1,1,0,0,0,0,181320,169584,0,0,0,0,1,1,0,0,68311,64064,0,0,104944376,105615191,109482828,109087503,12718.99,12030.44,13269.04,12425.96,29004407,29457582,27.64,27.89,3515.26,3355.46,1559,1489,18604.49,19783.47,18.89,16.96,1113.4,1093.58,1149.6,1129.18,1165.1,1144.44,1565,1535,25137,24598
01045,"Dale, AL",1,1,0,0,0,0,48433,45121,0,0,0,0,1,1,0,0,19111,17730,0,0,53897535,59005167,58721994,63347494,11404.47,11325.37,12425.31,12158.83,13047095,16065299,24.21,27.23,2760.71,3083.55,712,805,18324.57,19956.89,15.07,15.45,1134.3,1109.65,1134.3,1109.65,1134.3,1109.65,1966,1911,21120,18934
01047,"Dallas, AL",1,1,0,0,0,0,71024,66434,0,0,0,0,1,1,0,0,25094,24053,0,0,29814570,33125877,31133806,34724864,12041.43,11387.38,12574.24,11937.05,9530638,11264415,31.97,34,3849.21,3872.26,431,493,22112.85,22848.71,17.41,16.95,1123.3,1098.9,1123.3,1098.9,1123.3,1098.9,914,907,15383,14582
01049,"DeKalb, AL",1,1,0,0,0,0,70699,65971,0,0,0,0,1,1,0,0,24980,23886,0,0,74161956,75306737,79842186,80554669,11137.1,10248.6,11990.12,10962.8,19231675,19527996,25.93,25.93,2888.07,2657.59,995,1028,19328.32,18996.11,14.94,13.99,1095,1073.62,1130,1104.96,1130,1104.96,1054,1047,14667,13041
01051,"Elmore, AL",2,2,0,0,0,0,71106,66001,0,0,0,0,2,2,0,0,25645,23882,0,0,76857813,73435337,81795358,77832649,11251.33,10400.13,11974.14,11022.89,21791372,20092786,28.35,27.36,3190.07,2845.6,1032,1012,21115.67,19854.53,15.11,14.33,1150.1,1115.02,1220.1,1182.89,1249.5,1211.98,2684,2551,40012,37127
01053,"Escambia, AL",2,2,0,0,0,0,63769,59183,0,0,0,0,2,2,0,0,24844,23329,0,0,43544213,39883774,46309555,42569124,13607.57,11570.58,14471.74,12349.62,12240621,11124993,28.11,27.89,3825.19,3227.44,622,628,19679.45,17714.96,19.44,18.22,1107.9,1073.32,1121.4,1088.42,1121.4,1088.42,740,721,10527,7833
01055,"Etowah, AL",2,2,2,2,0,0,325649,305163,44024,40693,0,0,2,2,2,2,113163,106602,17571,18543,116078112,118847019,128467273,129767625,13098.41,12174.45,14496.42,13293.14,32026517,34338341,27.59,28.89,3613.92,3517.55,1673,1755,19143.17,19566.01,18.88,17.98,1111.3,1055.22,1148.8,1092.15,1164.8,1107.98,2537,2509,40227,37480
01057,"Fayette, AL",1,1,0,0,0,0,32919,30948,0,0,0,0,1,1,0,0,13147,13946,0,0,24999419,24937116,26448903,26038338,12036.31,10799.96,12734.19,11276.89,7108652,7189303,28.44,28.83,3422.56,3113.6,333,377,21347.3,19069.77,16.03,16.33,1124.5,1076.79,1127.2,1101.64,1127.2,1101.64,460,451,6814,6089
01059,"Franklin, AL",2,2,0,0,0,0,46061,43177,0,0,0,0,2,2,0,0,18581,17555,0,0,39581231,41518755,43989146,45486304,12637.69,11940.97,14045.07,13082.05,9893880,10879876,25,26.2,3158.97,3129.1,574,615,17236.72,17690.86,18.33,17.69,1161.4,1120.43,1199.2,1156.91,1215.4,1172.54,389,400,4675,4170
01061,"Geneva, AL",1,1,0,0,0,0,39010,36616,0,0,0,0,1,1,0,0,15580,14423,0,0,31047905,34250291,34284646,36824452,11318.96,11251.74,12498.96,12097.39,7345285,8687491,23.66,25.36,2677.83,2853.97,430,462,17082.06,18804.09,15.68,15.18,1125.9,1097.43,1135.4,1110.75,1135.4,1110.75,765,780,9362,7481
01063,"Greene, AL",1,1,0,0,0,0,21105,19751,0,0,0,0,1,1,0,0,8328,7472,0,0,7751188,7463880,8200885,7887781,12111.23,9593.68,12813.88,10138.54,2238853,1927046,28.88,25.82,3498.21,2476.92,96,97,23321.39,19866.45,15,12.47,1113.9,1099.63,1125.3,1099.63,1125.3,1099.63,211,219,3535,4252
01065,"Hale, AL",1,1,0,0,0,0,15475,14288,0,0,0,0,1,1,0,0,6302,5861,0,0,14671802,17702497,15379343,18435959,11234.15,11133.65,11775.91,11594.94,4356437,5660052,29.69,31.97,3335.71,3559.78,208,265,20944.41,21358.69,15.93,16.67,1137.4,1068.69,1137.4,1103.48,1137.4,1116.9,340,345,6091,5128
01067,"Henry, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19499991,21374217,20954629,22672693,11746.98,12041.81,12623.27,12773.35,5003475,5939051,25.66,27.79,3014.14,3345.94,265,298,18881.04,19929.7,15.96,16.79,1133.4,1109.58,1133.4,1109.58,1133.4,1109.58,444,433,4799,4343
01069,"Houston, AL",2,2,3,3,0,0,704167,665271,68509,63365,0,0,2,2,3,3,265107,251581,32093,29530,115483565,116278149,125100673,124556467,12463.15,11576.88,13501.04,12401.08,29664772,30627745,25.69,26.34,3201.46,3049.36,1530,1633,19388.74,18755.51,16.51,16.26,1120.7,1087.32,1132.2,1107.96,1132.2,1107.96,2894,2862,31958,30931
01071,"Jackson, AL",1,1,0,0,0,0,68635,64062,0,0,0,0,1,1,0,0,27082,24236,0,0,68661382,71117949,73584504,75098409,11364.02,10688,12178.83,11286.21,17035578,18911322,24.81,26.59,2819.53,2842.1,886,963,19227.51,19637.93,14.66,14.47,1089.9,1061.19,1096.3,1061.19,1096.3,1061.19,897,907,11000,10766
01073,"Jefferson, AL",8,8,6,6,1,1,6111231,5339923,905252,965533,992040,605260,8,8,6,6,2240711,2090352,346881,416080,470086258,476976381,484807328,482311788,13107.83,12532.88,13518.31,12673.07,132680106,143363762,28.22,30.06,3699.64,3766.98,5777,6117,22966.96,23436.94,16.11,16.07,1121.3,1095.78,1197,1169.71,1229.4,1201.39,14041,14194,352431,356081
01075,"Lamar, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25671884,23227670,27340082,24498705,12184.09,10196.52,12975.83,10754.48,7176113,5960898,27.95,25.66,3405.84,2616.72,314,346,22853.86,17228.03,14.9,15.19,1092.1,1067.64,1092.1,1067.64,1092.1,1067.64,334,334,4677,3995
