fips_st_cnty,cnty_name_st_abbrev,hosp_inpat_dys_23,hosp_inpat_dys_22,stgh_inpat_dys_23,stgh_inpat_dys_22,stnglth_inpat_dys_23,stnglth_inpat_dys_22,sth_psych_inpat_dys_23,sth_psych_inpat_dys_22,sth_rehab_inpat_dys_23,sth_rehab_inpat_dys_22,sth_child_inpat_dys_23,sth_child_inpat_dys_22,sth_child_psych_inpat_dys_23,sth_child_psych_inpat_dys_22,sth_acute_lt_inpat_dys_23,sth_acute_lt_inpat_dys_22,ltgh_med_surg_hosp_inpat_dys_23,ltgh_med_surg_hosp_inpat_dys_22,lth_psych_inpat_dys_23,lth_psych_inpat_dys_22,lth_rehab_inpat_dys_23,lth_rehab_inpat_dys_22,lth_chronc_dis_inpat_dys_23,lth_chronc_dis_inpat_dys_22,lth_intel_disblts_inpat_dys_23,lth_intel_disblts_inpat_dys_22,lth_child_psych_inpat_dys_23,lth_child_psych_inpat_dys_22,lth_acute_lt_inpat_dys_23,lth_acute_lt_inpat_dys_22,sth_comn_inpat_dys_23,sth_comn_inpat_dys_22,vetn_hosp_inpat_dys_23,vetn_hosp_inpat_dys_22,hosp_nh_inpat_dys_23,hosp_nh_inpat_dys_22,stgh_nh_inpat_dys_23,stgh_nh_inpat_dys_22,stnglth_nh_inpat_dys_23,stnglth_nh_inpat_dys_22,stgh_medcr_inpat_dys_23,stgh_medcr_inpat_dys_22,stnglth_medcr_inpat_dys_23,stnglth_medcr_inpat_dys_22,stgh_medcd_inpat_dys_23,stgh_medcd_inpat_dys_22,stnglth_medcd_inpat_dys_23,stnglth_medcd_inpat_dys_22,stgh_medcr_ip_dischg_23,stgh_medcr_ip_dischg_22,stnglth_medcr_ip_dischg_23,stnglth_medcr_ip_dischg_22,stgh_medcd_ip_dischg_23,stgh_medcd_ip_dischg_22,stnglth_medcd_ip_dischg_23,stnglth_medcd_ip_dischg_22,stgh_00_39_util_rate_pct_23,stgh_00_39_util_rate_pct_22,stgh_40_59_util_rate_pct_23,stgh_40_59_util_rate_pct_22,stgh_60_79_util_rate_pct_23,stgh_60_79_util_rate_pct_22,stgh_80_plus_util_rate_pct_23,stgh_80_plus_util_rate_pct_22,stgh_outpt_vists_23,stgh_outpt_vists_22,stngh_outpt_vists_23,stngh_outpt_vists_22,lth_outpt_vists_23,lth_outpt_vists_22,vetn_hosp_outpt_vists_23,vetn_hosp_outpt_vists_22,stgh_ed_vists_23,stgh_ed_vists_22,stnglth_ed_vists_23,stnglth_ed_vists_22,stgh_oth_outpt_vists_23,stgh_oth_outpt_vists_22,stnglth_oth_outpt_vists_23,stnglth_oth_outpt_vists_22,medcr_ffs_ed_vists_23,medcr_ffs_ed_vists_22,ed_vists_per_1k_medcr_ffs_23,ed_vists_per_1k_medcr_ffs_22,stgh_surg_opertn_inpat_23,stgh_surg_opertn_inpat_22,stnglth_surg_opertn_inpat_23,stnglth_surg_opertn_inpat_22,stgh_surg_opertn_outpt_23,stgh_surg_opertn_outpt_22,stnglth_surg_opertn_outpt_23,stnglth_surg_opertn_outpt_22,stgh_surg_opertn_23,stgh_surg_opertn_22,stnglth_surg_opertn_23,stnglth_surg_opertn_22,vetn_hosp_surg_opertn_23,vetn_hosp_surg_opertn_22,stgh_opertng_rms_23,stgh_opertng_rms_22,stnglth_opertng_rms_23,stnglth_opertng_rms_22,stgh_iso_rm_23,stgh_iso_rm_22,stnglth_iso_rm_23,stnglth_iso_rm_22
01001,"Autauga, AL",19288,19894,19288,19894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19288,19894,0,0,0,0,0,0,0,0,11720,12510,0,0,2364,1838,0,0,1778,1983,0,0,467,373,0,0,0,0,0,0,1,1,0,0,97551,89015,0,0,0,0,0,0,29704,28903,0,0,67847,60112,0,0,2556,2650,609,604,172,189,0,0,2218,2284,0,0,2390,2473,0,0,0,0,4,4,0,0,6,8,0,0
01003,"Baldwin, AL",108562,102581,91246,89712,17316,12869,17316,12869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91246,89712,0,0,0,0,0,0,0,0,57419,58316,2931,5618,9188,6965,6533,2863,11641,12043,283,169,2640,2198,725,121,1,0,1,1,1,2,0,0,330881,323524,14364,0,0,0,0,0,121933,112991,0,0,208948,210533,14364,0,14894,14932,624,612,6751,4982,0,0,18566,23006,3,0,25317,27988,3,0,0,0,13,18,0,0,14,18,0,0
01005,"Barbour, AL",6076,6199,6076,6199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6076,6199,0,0,0,0,0,0,0,0,3153,4582,0,0,1278,606,0,0,606,786,0,0,193,143,0,0,1,1,0,0,0,0,0,0,33645,32054,0,0,0,0,0,0,4414,14476,0,0,29231,17578,0,0,1439,1543,763,730,147,88,0,0,1239,493,0,0,1386,581,0,0,0,0,0,3,0,0,0,0,0,0
01007,"Bibb, AL",44039,48034,44039,48034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44039,48034,0,0,42235,0,42235,0,0,0,17027,17943,0,0,16405,18234,0,0,448,840,0,0,229,530,0,0,0,0,0,0,1,1,0,0,74080,55560,0,0,0,0,0,0,5961,10763,0,0,68119,44797,0,0,912,860,694,608,0,412,0,0,193,1361,0,0,193,1773,0,0,0,0,1,0,0,0,1,0,0,0
01009,"Blount, AL",4195,5063,4195,5063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4195,5063,0,0,0,0,0,0,0,0,2471,3652,0,0,755,219,0,0,436,588,0,0,145,76,0,0,0,0,1,1,0,0,0,0,33276,13909,0,0,0,0,0,0,13422,13228,0,0,19854,681,0,0,2402,2492,633,593,33,22,0,0,425,681,0,0,458,703,0,0,0,0,3,3,0,0,5,5,0,0
01011,"Bullock, AL",8594,8846,8594,8846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8594,8846,0,0,0,0,0,0,0,0,5825,5889,0,0,723,796,0,0,758,748,0,0,132,149,0,0,0,0,1,1,0,0,0,0,8560,8210,0,0,0,0,0,0,2890,2780,0,0,5670,5430,0,0,335,422,607,652,758,761,0,0,3288,2898,0,0,4046,3659,0,0,0,0,0,0,0,0,0,0,0,0
01013,"Butler, AL",7829,7891,7829,7891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7829,7891,0,0,0,0,0,0,0,0,3014,2689,0,0,2776,3109,0,0,465,466,0,0,205,227,0,0,1,1,0,0,0,0,0,0,27308,26006,0,0,0,0,0,0,3320,3091,0,0,23988,22915,0,0,979,1240,581,639,674,609,0,0,3688,3400,0,0,4362,4009,0,0,0,0,0,0,0,0,0,0,0,0
01015,"Calhoun, AL",65892,77686,60264,71833,5628,5853,0,0,0,0,0,0,0,0,5628,5853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60264,71833,0,0,0,0,0,0,0,0,27349,36105,3817,3963,17340,17979,202,262,4145,5930,254,196,2495,3094,13,11,0,0,1,2,0,0,0,0,126643,159156,6,5,0,0,0,0,16701,29895,0,0,109942,129261,6,5,6192,6476,545,527,2009,2723,51,0,4603,7812,817,0,6612,10535,868,0,0,0,0,12,0,0,0,0,0,0
01017,"Chambers, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879,2175,636,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01019,"Cherokee, AL",4438,4448,4438,4448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4438,4448,0,0,0,0,0,0,0,0,2614,2519,0,0,798,796,0,0,556,564,0,0,185,194,0,0,1,1,0,0,0,0,0,0,10495,10066,0,0,0,0,0,0,1635,1597,0,0,8860,8469,0,0,1904,2042,636,614,274,223,0,0,2373,1830,0,0,2647,2053,0,0,0,0,0,0,0,0,0,0,0,0
