"fips_st_cnty","cnty_name_st_abbrev","stgh_rptng_exp_21","stgh_rptng_exp_20","stnglth_rptng_exp_21","stnglth_rptng_exp_20","vetn_hosp_rptng_exp_21","vetn_hosp_rptng_exp_20","stgh_reprtd_fac_exp_thou_21","stgh_reprtd_fac_exp_thou_20","stnglth_reprtd_fac_exp_thou_21","stnglth_reprtd_fac_exp_thou_20","vetn_hosp_reprtd_fac_exp_thou_21","vetn_hosp_reprtd_fac_exp_thou_20","stgh_rptng_payrl_exp_21","stgh_rptng_payrl_exp_20","stnglth_rptng_payrl_exp_21","stnglth_rptng_payrl_exp_20","stgh_reprtd_payrl_exp_thou_21","stgh_reprtd_payrl_exp_thou_20","stnglth_reprtd_payrl_exp_thou_21","stnglth_reprtd_payrl_exp_thou_20","actl_ffs_costs_21","actl_ffs_costs_20","stdizd_ffs_costs_21","stdizd_ffs_costs_20","std_adj_ffs_cost_21","std_adj_ffs_cost_20","actl_per_cap_ffs_cost_21","actl_per_cap_ffs_cost_20","stdizd_per_cap_ffs_cost_21","stdizd_per_cap_ffs_cost_20","std_adj_per_cap_ffs_cost_21","std_adj_per_cap_ffs_cost_20","inpat_actl_ffs_costs_21","inpat_actl_ffs_costs_20","inpat_actl_cost_pct_21","inpat_actl_cost_pct_20","inpat_actl_ffs_cost_per_cap_21","inpat_actl_ffs_cost_per_cap_20","medcr_ffs_inpat_covrd_stay_21","medcr_ffs_inpat_covrd_stay_20","inpat_user_ffs_cost_21","inpat_user_ffs_cost_20","medcr_ffs_inpat_svc_pct_21","medcr_ffs_inpat_svc_pct_20","medcr_adv_ab_rate_0_bonus_pct_23","medcr_adv_ab_rate_0_bonus_pct_22","medcr_adv_ab_rate_3_5_pct_23","medcr_adv_ab_rate_3_5_pct_22","medcr_adv_ab_rate_5_bonus_pct_23","medcr_adv_ab_rate_5_bonus_pct_22","pts_seen_va_fac_21","pts_seen_va_fac_20","va_med_care_expd_21","va_med_care_expd_20"
"01001","Autauga, AL",1,1,0,0,0,0,58125,44446,0,0,0,0,1,1,0,0,26415,18294,0,0,47676887.47,46564359.93,50822774.6,50034967.4,53607491.33,52710952.33,10407.53,9547.75,11094.25,10259.37,11702.14,10808.07,13707665.81,14633945.5,28.75,31.43,2992.29,3000.6,741,782,18498.87,18713.49,16.18,16.03,1077.47,1030.65,1147.63,1097.76,1177.7,1126.52,1835,1671,20058,19505
"01003","Baldwin, AL",3,3,1,1,0,0,334838,281231,9819,8895,0,0,3,3,1,1,114736,103965,6407,5805,263178726.2,250444736.3,272644122,264573072.7,303906891.9,294148219.8,10494.82,9553.49,10872.28,10092.43,12118.95,11220.61,70051212.13,70127131.93,26.62,28,2793.44,2675.08,3643,3876,19228.99,18092.66,14.53,14.79,1124.36,1054.48,1192.79,1118.67,1206.14,1146.18,5658,5175,50861,46544
"01005","Barbour, AL",1,1,0,0,0,0,22017,19603,0,0,0,0,1,1,0,0,9096,8094,0,0,28207963.1,28756617.19,28987144.03,30103224.17,29996124.54,27772533.53,11967.74,10674.32,12298.32,11174.17,12726.4,10309.03,8754019.35,8353602.19,31.03,29.05,3714.05,3100.82,384,410,22796.93,20374.64,16.29,15.22,1097.19,1055,1108.8,1055,1108.8,1055,567,556,5576,5803
"01007","Bibb, AL",1,1,0,0,0,0,24377,21719,0,0,0,0,1,1,0,0,9919,10352,0,0,19312781.06,21814142.48,19615994.53,22219289.1,18079523.88,18815989.15,12238.77,12352.29,12430.92,12581.7,11457.24,10654.58,6477808.23,7440589.4,33.54,34.11,4105.07,4213.24,264,337,24537.15,22078.9,16.73,19.08,1098.21,1036.55,1169.72,1104.04,1200.37,1132.97,404,414,5399,5259
"01009","Blount, AL",1,1,0,0,0,0,19710,19480,0,0,0,0,1,1,0,0,7605,7319,0,0,48821510.3,52760008.12,50392796.69,56111309.32,55049910.46,58700619.1,10720.58,10526.74,11065.61,11195.39,12088.25,11712.01,14344773.64,16385715.46,29.38,31.06,3149.93,3269.3,685,796,20941.28,20585.07,15.04,15.88,1106.96,1034.77,1179.04,1102.15,1179.47,1131.03,1088,1059,14794,13962
"01011","Bullock, AL",1,1,0,0,0,0,17619,15465,0,0,0,0,1,1,0,0,6888,6084,0,0,8616656.09,9819498.88,9474216.83,10706041.92,9007303.33,10089624.22,11443.1,10778.81,12581.96,11751.97,11961.89,11075.33,2332060.16,3246608.58,27.06,33.06,3097.03,3563.79,111,155,21009.55,20945.86,14.74,17.01,1059.26,998.9,1089.61,1029.3,1089.61,1039.97,239,234,9205,4744
"01013","Butler, AL",1,1,0,0,0,0,40913,36631,0,0,0,0,1,1,0,0,16061,13894,0,0,27376840.28,31005727.55,28911133.63,33020434.67,28917028.2,32156034.89,11197.07,11165.19,11824.59,11890.69,11827.01,11579.41,7756650.28,8972386.05,28.33,28.94,3172.45,3230.96,385,450,20147.14,19938.64,15.75,16.2,1096.26,1050.71,1129.62,1082.69,1143.92,1096.39,433,427,5366,5163
"01015","Calhoun, AL",2,2,1,1,0,0,238900,216110,14713,13052,0,0,2,2,1,1,102578,89144,6350,5494,152179174.6,165823926.1,159660079.6,177979511.9,158386962.3,178333551,11197.88,10817.66,11748.35,11610.64,11654.67,11633.74,43723497.94,48093062.32,28.73,29,3217.33,3137.39,2201,2573,19865.29,18691.44,16.2,16.79,1084.16,1013.31,1088.75,1039.16,1088.75,1039.16,3466,3442,34723,33454
"01017","Chambers, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39791132.73,45671169.2,42491685.46,49218919.46,40464538.78,48599467.81,10260.74,10176.29,10957.11,10966.78,10434.38,10828.76,11677814.16,14747213.62,29.35,32.29,3011.3,3285.92,630,733,18536.21,20118.98,16.25,16.33,996.47,928.62,1026.8,956.89,1039.8,969,783,789,7764,8828
"01019","Cherokee, AL",1,1,0,0,0,0,24404,21749,0,0,0,0,1,1,0,0,9151,8172,0,0,40491477.5,45929268.26,41467340.61,47362874.96,42688885.86,48149161.82,11257.01,11482.32,11528.31,11840.72,11867.91,12037.29,12490689.24,15190896.86,30.85,33.07,3472.53,3797.72,570,702,21913.49,21639.45,15.85,17.55,1096.87,1028.3,1096.87,1052.31,1096.87,1052.31,544,535,5547,5630
