"fips_st_cnty","cnty_name_st_abbrev","hosp_inpat_dys_21","hosp_inpat_dys_20","stgh_inpat_dys_21","stgh_inpat_dys_20","stnglth_inpat_dys_21","stnglth_inpat_dys_20","sth_psych_inpat_dys_21","sth_psych_inpat_dys_20","sth_rehab_inpat_dys_21","sth_rehab_inpat_dys_20","sth_child_inpat_dys_21","sth_child_inpat_dys_20","sth_child_psych_inpat_dys_21","sth_child_psych_inpat_dys_20","sth_acute_lt_inpat_dys_21","sth_acute_lt_inpat_dys_20","ltgh_med_surg_hosp_inpat_dys_21","ltgh_med_surg_hosp_inpat_dys_20","lth_psych_inpat_dys_21","lth_psych_inpat_dys_20","lth_rehab_inpat_dys_21","lth_rehab_inpat_dys_20","lth_chronc_dis_inpat_dys_21","lth_chronc_dis_inpat_dys_20","lth_intel_disblts_inpat_dys_21","lth_intel_disblts_inpat_dys_20","lth_child_psych_inpat_dys_21","lth_child_psych_inpat_dys_20","lth_acute_lt_inpat_dys_21","lth_acute_lt_inpat_dys_20","sth_comn_inpat_dys_21","sth_comn_inpat_dys_20","vetn_hosp_inpat_dys_21","vetn_hosp_inpat_dys_20","hosp_nh_inpat_dys_21","hosp_nh_inpat_dys_20","stgh_nh_inpat_dys_21","stgh_nh_inpat_dys_20","stnglth_nh_inpat_dys_21","stnglth_nh_inpat_dys_20","stgh_medcr_inpat_dys_21","stgh_medcr_inpat_dys_20","stnglth_medcr_inpat_dys_21","stnglth_medcr_inpat_dys_20","stgh_medcd_inpat_dys_21","stgh_medcd_inpat_dys_20","stnglth_medcd_inpat_dys_21","stnglth_medcd_inpat_dys_20","stgh_medcr_ip_dischg_21","stgh_medcr_ip_dischg_20","stnglth_medcr_ip_dischg_21","stnglth_medcr_ip_dischg_20","stgh_medcd_ip_dischg_21","stgh_medcd_ip_dischg_20","stnglth_medcd_ip_dischg_21","stnglth_medcd_ip_dischg_20","stgh_00_39_util_rate_pct_21","stgh_00_39_util_rate_pct_20","stgh_40_59_util_rate_pct_21","stgh_40_59_util_rate_pct_20","stgh_60_79_util_rate_pct_21","stgh_60_79_util_rate_pct_20","stgh_80_plus_util_rate_pct_21","stgh_80_plus_util_rate_pct_20","stgh_outpt_vists_21","stgh_outpt_vists_20","stngh_outpt_vists_21","stngh_outpt_vists_20","lth_outpt_vists_21","lth_outpt_vists_20","vetn_hosp_outpt_vists_21","vetn_hosp_outpt_vists_20","stgh_ed_vists_21","stgh_ed_vists_20","stnglth_ed_vists_21","stnglth_ed_vists_20","stgh_oth_outpt_vists_21","stgh_oth_outpt_vists_20","stnglth_oth_outpt_vists_21","stnglth_oth_outpt_vists_20","medcr_ffs_ed_vists_21","medcr_ffs_ed_vists_20","ed_vists_per_1k_medcr_ffs_21","ed_vists_per_1k_medcr_ffs_20","stgh_surg_opertn_inpat_21","stgh_surg_opertn_inpat_20","stnglth_surg_opertn_inpat_21","stnglth_surg_opertn_inpat_20","stgh_surg_opertn_outpt_21","stgh_surg_opertn_outpt_20","stnglth_surg_opertn_outpt_21","stnglth_surg_opertn_outpt_20","stgh_surg_opertn_21","stgh_surg_opertn_20","stnglth_surg_opertn_21","stnglth_surg_opertn_20","vetn_hosp_surg_opertn_21","vetn_hosp_surg_opertn_20","stgh_opertng_rms_21","stgh_opertng_rms_20","stnglth_opertng_rms_21","stnglth_opertng_rms_20","stgh_iso_rm_21","stgh_iso_rm_20","stnglth_iso_rm_21","stnglth_iso_rm_20"
"01001","Autauga, AL",15549,11769,15549,11769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15549,11769,0,0,0,0,0,0,0,0,9550,7357,0,0,1268,1141,0,0,1693,1539,0,0,328,376,0,0,0,0,0,1,1,0,0,0,91900,80737,0,0,0,0,0,0,27970,30839,0,0,63930,49898,0,0,2815,2993,614,614,171,20,0,0,1881,1971,0,0,2052,1991,0,0,0,0,4,4,0,0,8,8,0,0
"01003","Baldwin, AL",96064,79193,80331,63785,15733,15408,15733,15408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80331,63785,0,0,0,0,0,0,0,0,42583,32272,6671,6156,14265,14374,3812,4166,9963,7836,184,214,3236,3097,144,122,0,0,1,2,2,1,0,0,287218,233270,0,0,0,0,0,0,96037,61840,0,0,191181,171430,0,0,13542,13031,540,497,5318,5881,0,0,18782,13926,0,0,24100,19807,0,0,0,0,18,0,0,0,18,0,0,0
"01005","Barbour, AL",6748,6275,6748,6275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6748,6275,0,0,0,0,0,0,0,0,3437,3274,0,0,1239,1029,0,0,597,627,0,0,196,191,0,0,1,1,0,0,0,0,0,0,42186,37474,0,0,0,0,0,0,5388,4794,0,0,36798,32680,0,0,1783,2089,756,775,382,408,0,0,2632,2535,0,0,3014,2943,0,0,0,0,0,0,0,0,0,0,0,0
"01007","Bibb, AL",48161,46265,48161,46265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48161,46265,0,0,0,41810,0,41810,0,0,17974,9698,0,0,17020,29100,0,0,832,349,0,0,510,216,0,0,0,0,0,0,1,1,0,0,54855,49711,0,0,0,0,0,0,9623,5107,0,0,45232,44604,0,0,1026,1214,650,687,228,0,0,0,783,66,0,0,1011,66,0,0,0,0,0,1,0,0,0,1,0,0
"01009","Blount, AL",4940,4080,4940,4080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4940,4080,0,0,0,0,0,0,0,0,3619,3166,0,0,167,126,0,0,561,467,0,0,65,58,0,0,0,0,1,1,0,0,0,0,13281,14284,0,0,0,0,0,0,12568,13544,0,0,713,740,0,0,2440,2908,536,580,24,24,0,0,713,740,0,0,737,764,0,0,0,0,3,3,0,0,5,5,0,0
"01011","Bullock, AL",8835,8293,8835,8293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8835,8293,0,0,0,0,0,0,0,0,5616,5308,0,0,888,847,0,0,709,708,0,0,165,154,0,0,0,0,1,1,0,0,0,0,8304,7537,0,0,0,0,0,0,2482,1979,0,0,5822,5558,0,0,425,585,564,642,646,757,0,0,2446,2265,0,0,3092,3022,0,0,0,0,0,0,0,0,0,0,0,0
"01013","Butler, AL",7754,7048,7754,7048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7754,7048,0,0,0,0,0,0,0,0,2464,1998,0,0,2857,2706,0,0,446,459,0,0,216,219,0,0,1,1,0,0,0,0,0,0,25988,23327,0,0,0,0,0,0,3260,3119,0,0,22728,20208,0,0,1492,1692,610,609,561,651,0,0,2902,2823,0,0,3463,3474,0,0,0,0,0,0,0,0,0,0,0,0
"01015","Calhoun, AL",75074,68452,68431,62092,6643,6360,0,0,0,0,0,0,0,0,6643,6360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68431,62092,0,0,0,0,0,0,0,0,37900,37004,4194,4368,8476,12156,302,255,6137,6318,288,198,2400,3835,18,11,0,1,1,0,0,0,1,1,156178,90640,4,3,0,0,0,0,44705,43961,2,2,111473,46679,2,1,6584,7617,484,497,2467,3037,114,328,7670,8157,2640,2310,10137,11194,2754,2638,0,0,11,11,0,0,8,8,0,0
"01017","Chambers, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450,2675,632,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","Cherokee, AL",6963,6538,6963,6538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6963,6538,0,0,0,0,0,0,0,0,3929,3617,0,0,1156,1251,0,0,386,383,0,0,132,128,0,0,0,0,1,1,0,0,0,0,10169,9177,0,0,0,0,0,0,1474,8308,0,0,8695,869,0,0,2244,2523,624,631,173,0,0,0,1204,869,0,0,1377,869,0,0,0,0,0,2,0,0,0,6,0,0
