fips_st_cnty,cnty_name_st_abbrev,stgh_rptng_exp_22,stgh_rptng_exp_21,stnglth_rptng_exp_22,stnglth_rptng_exp_21,vetn_hosp_rptng_exp_22,vetn_hosp_rptng_exp_21,stgh_reprtd_fac_exp_thou_22,stgh_reprtd_fac_exp_thou_21,stnglth_reprtd_fac_exp_thou_22,stnglth_reprtd_fac_exp_thou_21,vetn_hosp_reprtd_fac_exp_thou_22,vetn_hosp_reprtd_fac_exp_thou_21,stgh_rptng_payrl_exp_22,stgh_rptng_payrl_exp_21,stnglth_rptng_payrl_exp_22,stnglth_rptng_payrl_exp_21,stgh_reprtd_payrl_exp_thou_22,stgh_reprtd_payrl_exp_thou_21,stnglth_reprtd_payrl_exp_thou_22,stnglth_reprtd_payrl_exp_thou_21,actl_ffs_costs_22,actl_ffs_costs_21,stdizd_ffs_costs_22,stdizd_ffs_costs_21,actl_per_cap_ffs_cost_22,actl_per_cap_ffs_cost_21,stdizd_per_cap_ffs_cost_22,stdizd_per_cap_ffs_cost_21,inpat_actl_ffs_costs_22,inpat_actl_ffs_costs_21,inpat_actl_cost_pct_22,inpat_actl_cost_pct_21,inpat_actl_ffs_cost_per_cap_22,inpat_actl_ffs_cost_per_cap_21,medcr_ffs_inpat_covrd_stay_22,medcr_ffs_inpat_covrd_stay_21,inpat_user_ffs_cost_22,inpat_user_ffs_cost_21,medcr_ffs_inpat_svc_pct_22,medcr_ffs_inpat_svc_pct_21,medcr_adv_ab_rate_0_bonus_pct_24,medcr_adv_ab_rate_0_bonus_pct_23,medcr_adv_ab_rate_3_5_pct_24,medcr_adv_ab_rate_3_5_pct_23,medcr_adv_ab_rate_5_bonus_pct_24,medcr_adv_ab_rate_5_bonus_pct_23,pts_seen_va_fac_22,pts_seen_va_fac_21,va_med_care_expd_22,va_med_care_expd_21
01001,"Autauga, AL",1,1,0,0,0,0,67103,58125,0,0,0,0,1,1,0,0,31542,26415,0,0,45972875.36,47703311.32,49570534.37,50904044.5,10469.8,10413.3,11289.12,11111.99,13060009.71,13707665.82,28.41,28.74,2974.27,2992.29,676,741,19319.54,18498.87,15.4,16.18,1051.7,1077.47,1120.19,1147.63,1149.54,1177.7,1818,1835,22361,20058
01003,"Baldwin, AL",3,3,1,1,0,0,387299,334838,11086,9819,0,0,3,3,1,1,130260,114736,7397,6407,272444913.3,263338937,284990241,273810563.4,11163.94,10501.21,11678.01,10918.79,68407080.69,70051212.13,25.11,26.6,2803.11,2793.44,3596,3643,19023.1,19228.99,14.74,14.53,1138.94,1124.36,1208.26,1192.79,1223.3,1206.14,5747,5658,53280,50861
01005,"Barbour, AL",1,1,0,0,0,0,23591,22017,0,0,0,0,1,1,0,0,9686,9096,0,0,24910553.68,28229640.78,26584554.75,29084963.51,11783.61,11976.94,12575.48,12339.82,6720162.92,8754019.35,26.98,31.01,3178.89,3714.05,362,384,18563.99,22796.93,17.12,16.29,1115.15,1097.19,1115.15,1108.8,1115.15,1108.8,568,567,5559,5576
01007,"Bibb, AL",1,1,0,0,0,0,26700,24377,0,0,0,0,1,1,0,0,10517,9919,0,0,15254027.48,19325256.32,15691452.97,19634746.39,10787.86,12246.68,11097.21,12442.81,4452713.42,6477808.23,29.19,33.52,3149.02,4105.07,220,264,20239.61,24537.15,15.56,16.73,1106.98,1098.21,1179.06,1169.72,1206.25,1200.37,375,404,5742,5399
01009,"Blount, AL",1,1,0,0,0,0,27878,19710,0,0,0,0,1,1,0,0,8532,7605,0,0,47731046.76,48857884.75,50029044.23,50534871.04,11361.83,10728.56,11908.84,11096.81,12887622.15,14344773.65,27,29.36,3067.75,3149.93,657,685,19615.86,20941.28,15.64,15.04,1113.53,1106.96,1170.01,1179.04,1170.01,1179.47,1038,1088,16468,14794
01011,"Bullock, AL",1,1,0,0,0,0,19353,17619,0,0,0,0,1,1,0,0,7604,6888,0,0,7642968.49,8627446.52,8416483.28,9546470.23,11812.93,11457.43,13008.47,12677.92,2204820.03,2332060.16,28.85,27.03,3407.76,3097.03,111,111,19863.24,21009.55,17.16,14.74,1061.45,1059.26,1093.75,1089.61,1106.66,1089.61,220,239,6284,9205
01013,"Butler, AL",1,1,0,0,0,0,45130,40913,0,0,0,0,1,1,0,0,17074,16061,0,0,22476927.67,27387488.93,23850339.67,28936332.92,11586.05,11201.43,12293.99,11834.9,5753867.63,7756650.28,25.6,28.32,2965.91,3172.45,326,385,17649.9,20147.14,16.8,15.75,1101.26,1096.26,1134.78,1129.62,1149.14,1143.92,421,433,7226,5366
01015,"Calhoun, AL",2,2,1,1,0,0,252079,238900,16263,14713,0,0,2,2,1,1,117022,102578,7150,6350,143340668.8,152231775.9,151708545.5,160930778,11664.14,11201.75,12345.07,11841.85,38912516.72,43723497.94,27.15,28.72,3166.45,3217.33,2002,2201,19436.82,19865.29,16.29,16.2,1085.11,1084.16,1105.45,1088.75,1105.45,1088.75,3478,3466,41707,34723
01017,"Chambers, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36636684.18,39802498.65,38688843.54,42547028.76,10647.1,10263.67,11243.49,10971.38,11199820.74,11677814.17,30.57,29.34,3254.82,3011.3,522,630,21455.6,18536.21,15.17,16.25,1025.49,996.47,1056.7,1026.8,1070.08,1039.8,742,783,8612,7764
01019,"Cherokee, AL",1,1,0,0,0,0,17457,24404,0,0,0,0,1,1,0,0,8188,9151,0,0,37779051.94,40563883.25,38857140.79,41604942.46,11365.54,11277.14,11689.87,11566.57,11253286.84,12490689.24,29.79,30.79,3385.47,3472.53,530,570,21232.62,21913.49,15.94,15.85,1098.37,1096.87,1098.37,1096.87,1098.37,1096.87,558,544,6567,5547
