fips_st_cnty,cnty_name_st_abbrev,hosp_inpat_dys_22,hosp_inpat_dys_21,stgh_inpat_dys_22,stgh_inpat_dys_21,stnglth_inpat_dys_22,stnglth_inpat_dys_21,sth_psych_inpat_dys_22,sth_psych_inpat_dys_21,sth_rehab_inpat_dys_22,sth_rehab_inpat_dys_21,sth_child_inpat_dys_22,sth_child_inpat_dys_21,sth_child_psych_inpat_dys_22,sth_child_psych_inpat_dys_21,sth_acute_lt_inpat_dys_22,sth_acute_lt_inpat_dys_21,ltgh_med_surg_hosp_inpat_dys_22,ltgh_med_surg_hosp_inpat_dys_21,lth_psych_inpat_dys_22,lth_psych_inpat_dys_21,lth_rehab_inpat_dys_22,lth_rehab_inpat_dys_21,lth_chronc_dis_inpat_dys_22,lth_chronc_dis_inpat_dys_21,lth_intel_disblts_inpat_dys_22,lth_intel_disblts_inpat_dys_21,lth_child_psych_inpat_dys_22,lth_child_psych_inpat_dys_21,lth_acute_lt_inpat_dys_22,lth_acute_lt_inpat_dys_21,sth_comn_inpat_dys_22,sth_comn_inpat_dys_21,vetn_hosp_inpat_dys_22,vetn_hosp_inpat_dys_21,hosp_nh_inpat_dys_22,hosp_nh_inpat_dys_21,stgh_nh_inpat_dys_22,stgh_nh_inpat_dys_21,stnglth_nh_inpat_dys_22,stnglth_nh_inpat_dys_21,stgh_medcr_inpat_dys_22,stgh_medcr_inpat_dys_21,stnglth_medcr_inpat_dys_22,stnglth_medcr_inpat_dys_21,stgh_medcd_inpat_dys_22,stgh_medcd_inpat_dys_21,stnglth_medcd_inpat_dys_22,stnglth_medcd_inpat_dys_21,stgh_medcr_ip_dischg_22,stgh_medcr_ip_dischg_21,stnglth_medcr_ip_dischg_22,stnglth_medcr_ip_dischg_21,stgh_medcd_ip_dischg_22,stgh_medcd_ip_dischg_21,stnglth_medcd_ip_dischg_22,stnglth_medcd_ip_dischg_21,stgh_00_39_util_rate_pct_22,stgh_00_39_util_rate_pct_21,stgh_40_59_util_rate_pct_22,stgh_40_59_util_rate_pct_21,stgh_60_79_util_rate_pct_22,stgh_60_79_util_rate_pct_21,stgh_80_plus_util_rate_pct_22,stgh_80_plus_util_rate_pct_21,stgh_outpt_vists_22,stgh_outpt_vists_21,stngh_outpt_vists_22,stngh_outpt_vists_21,lth_outpt_vists_22,lth_outpt_vists_21,vetn_hosp_outpt_vists_22,vetn_hosp_outpt_vists_21,stgh_ed_vists_22,stgh_ed_vists_21,stnglth_ed_vists_22,stnglth_ed_vists_21,stgh_oth_outpt_vists_22,stgh_oth_outpt_vists_21,stnglth_oth_outpt_vists_22,stnglth_oth_outpt_vists_21,medcr_ffs_ed_vists_22,medcr_ffs_ed_vists_21,ed_vists_per_1k_medcr_ffs_22,ed_vists_per_1k_medcr_ffs_21,stgh_surg_opertn_inpat_22,stgh_surg_opertn_inpat_21,stnglth_surg_opertn_inpat_22,stnglth_surg_opertn_inpat_21,stgh_surg_opertn_outpt_22,stgh_surg_opertn_outpt_21,stnglth_surg_opertn_outpt_22,stnglth_surg_opertn_outpt_21,stgh_surg_opertn_22,stgh_surg_opertn_21,stnglth_surg_opertn_22,stnglth_surg_opertn_21,vetn_hosp_surg_opertn_22,vetn_hosp_surg_opertn_21,stgh_opertng_rms_22,stgh_opertng_rms_21,stnglth_opertng_rms_22,stnglth_opertng_rms_21,stgh_iso_rm_22,stgh_iso_rm_21,stnglth_iso_rm_22,stnglth_iso_rm_21
01001,"Autauga, AL",19894,15549,19894,15549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19894,15549,0,0,0,0,0,0,0,0,12510,9550,0,0,1838,1268,0,0,1983,1693,0,0,373,328,0,0,0,0,0,0,1,1,0,0,89015,91900,0,0,0,0,0,0,28903,27970,0,0,60112,63930,0,0,2650,2815,604,614,189,171,0,0,2284,1881,0,0,2473,2052,0,0,0,0,4,4,0,0,8,8,0,0
01003,"Baldwin, AL",102581,96064,89712,80331,12869,15733,12869,15733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89712,80331,0,0,0,0,0,0,0,0,58316,42583,5618,6671,6965,14265,2863,3812,12043,9963,169,184,2198,3236,121,144,0,0,1,1,2,2,0,0,323524,287218,0,0,0,0,0,0,112991,96037,0,0,210533,191181,0,0,14932,13542,612,540,4982,5318,0,0,23006,18782,0,0,27988,24100,0,0,0,0,18,18,0,0,18,18,0,0
01005,"Barbour, AL",6199,6748,6199,6748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6199,6748,0,0,0,0,0,0,0,0,4582,3437,0,0,606,1239,0,0,786,597,0,0,143,196,0,0,1,1,0,0,0,0,0,0,32054,42186,0,0,0,0,0,0,14476,5388,0,0,17578,36798,0,0,1543,1783,730,756,88,382,0,0,493,2632,0,0,581,3014,0,0,0,0,3,0,0,0,0,0,0,0
01007,"Bibb, AL",48034,48161,48034,48161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48034,48161,0,0,0,0,0,0,0,0,17943,17974,0,0,18234,17020,0,0,840,832,0,0,530,510,0,0,0,0,0,0,1,1,0,0,55560,54855,0,0,0,0,0,0,10763,9623,0,0,44797,45232,0,0,860,1026,608,650,412,228,0,0,1361,783,0,0,1773,1011,0,0,0,0,0,0,0,0,0,0,0,0
01009,"Blount, AL",5063,4940,5063,4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5063,4940,0,0,0,0,0,0,0,0,3652,3619,0,0,219,167,0,0,588,561,0,0,76,65,0,0,0,0,1,1,0,0,0,0,13909,13281,0,0,0,0,0,0,13228,12568,0,0,681,713,0,0,2492,2440,593,536,22,24,0,0,681,713,0,0,703,737,0,0,0,0,3,3,0,0,5,5,0,0
01011,"Bullock, AL",8846,8835,8846,8835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8846,8835,0,0,0,0,0,0,0,0,5889,5616,0,0,796,888,0,0,748,709,0,0,149,165,0,0,0,0,1,1,0,0,0,0,8210,8304,0,0,0,0,0,0,2780,2482,0,0,5430,5822,0,0,422,425,652,564,761,646,0,0,2898,2446,0,0,3659,3092,0,0,0,0,0,0,0,0,0,0,0,0
01013,"Butler, AL",7891,7754,7891,7754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7891,7754,0,0,0,0,0,0,0,0,2689,2464,0,0,3109,2857,0,0,466,446,0,0,227,216,0,0,1,1,0,0,0,0,0,0,26006,25988,0,0,0,0,0,0,3091,3260,0,0,22915,22728,0,0,1240,1492,639,610,609,561,0,0,3400,2902,0,0,4009,3463,0,0,0,0,0,0,0,0,0,0,0,0
01015,"Calhoun, AL",77686,75074,71833,68431,5853,6643,0,0,0,0,0,0,0,0,5853,6643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71833,68431,0,0,0,0,0,0,0,0,36105,37900,3963,4194,17979,8476,262,302,5930,6137,196,288,3094,2400,11,18,0,0,2,1,0,0,0,1,159156,156178,5,4,0,0,0,0,29895,44705,0,2,129261,111473,5,2,6476,6584,527,484,2723,2467,0,114,7812,7670,0,2640,10535,10137,0,2754,0,0,12,11,0,0,0,8,0,0
01017,"Chambers, AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175,2450,632,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01019,"Cherokee, AL",4448,6963,4448,6963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4448,6963,0,0,0,0,0,0,0,0,2519,3929,0,0,796,1156,0,0,564,386,0,0,194,132,0,0,1,0,0,1,0,0,0,0,10066,10169,0,0,0,0,0,0,1597,1474,0,0,8469,8695,0,0,2042,2244,614,624,223,173,0,0,1830,1204,0,0,2053,1377,0,0,0,0,0,0,0,0,0,0,0,0
